id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria
89,Casa,Venda,São Luís/MA,Jardim São Francisco,0,0,0,1200000,Pereira Feitosa
90,Casa,Venda,São Luís/MA,Vinhais,3,2,6,600000,Pereira Feitosa
91,Casa,Venda,São Luís/MA,Turu,2,1,2,400000,Pereira Feitosa
92,Apartamento,Venda,São Luís/MA,Jardim São Francisco,1,1,1,240000,Pereira Feitosa
93,Apartamento,Venda,São Luís/MA,Parque Athenas,3,2,2,300000,Pereira Feitosa
94,Casa,Venda,São Luís/MA,Calhau,8,0,10,1000000,Pereira Feitosa
95,Casa,Venda,São Luís/MA,Jardim Eldorado,3,0,2,500000,Pereira Feitosa
96,Casa,Venda,São José de Ribamar/MA,Araçagy,1,1,4,300000,Pereira Feitosa
97,Apartamento,Venda,São Luís/MA,Angelim,2,0,0,130000,Pereira Feitosa
98,Casa,Venda,São Luís/MA,Calhau,2,1,4,980000,Pereira Feitosa
99,Apartamento,Venda,São Luís/MA,Calhau,4,4,4,3000000,Pereira Feitosa
100,Apartamento,Venda,São Luís/MA,Turu,3,1,1,195000,Pereira Feitosa
101,Apartamento,Venda,São Luís/MA,Calhau,1,0,1,800000,Pereira Feitosa
102,Casa,Venda,São José de Ribamar/MA,Araçagy,0,0,2,380000,Pereira Feitosa
103,Apartamento,Venda,São Luís/MA,Ponta D Areia,2,1,0,670000,Pereira Feitosa
104,Casa,Venda,São Luís/MA,Cohaserma,4,2,5,500000,Pereira Feitosa
105,Apartamento,Venda,São Luís/MA,Cohafuma,2,1,0,350000,Pereira Feitosa
106,Casa,Venda,São Luís/MA,Planalto Vinhais II,2,0,0,240000,Pereira Feitosa
107,Casa,Venda,São Luís/MA,Cohafuma,3,1,3,297000,Pereira Feitosa
108,Casa,Venda,São Luís/MA,Vivendas Do Turu,2,0,4,1400,Pereira Feitosa
109,Casa,Venda,São Luís/MA,Tirirical,3,1,3,320000,Pereira Feitosa
110,Casa,Venda,São Luís/MA,São Bernardo,2,1,3,300000,Pereira Feitosa
111,Casa,Venda,São Luís/MA,Chácara Brasil,2,0,4,250000,Pereira Feitosa
112,Casa,Venda,São José de Ribamar/MA,Araçagy,5,3,8,1200000,Pereira Feitosa
113,Casa,Venda,São Luís/MA,Calhau,4,3,6,1600000,Pereira Feitosa
114,Casa,Venda,São Luís/MA,Quintas do Calhau,0,3,2,2000000,Pereira Feitosa
115,Casa,Venda,São Luís/MA,Areinha,0,0,2,260000,Pereira Feitosa
116,Casa,Venda,São Luís/MA,Vinhais,2,1,2,300000,Pereira Feitosa
117,Apartamento,Venda,São Luís/MA,Jardim Renascença,1,0,0,180000,Pereira Feitosa
118,Casa,Venda,São Luís/MA,Ipase,3,0,4,500000,Pereira Feitosa
119,Apartamento,Venda,São Luís/MA,Turu,2,1,1,130000,Pereira Feitosa
120,Apartamento,Venda,São Luís/MA,Jardim São Francisco,2,1,2,435000,Pereira Feitosa
